GID,short_description
gid://shopify/Product/15448942346564,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448942903620,"[""Engrais composé organo-minéral NPK (Mg) 8-4-5 (+2)"", ""Favorise de plus belles plantes, des couleurs plus profondes et plus de fleurs"", ""Profitez de fruits plus nombreux et plus savoureux"", ""Influence positive sur la formation des fruits, tubercules et bulbes"", ""Améliore la qualité en termes de goût, couleur, odeur et durabilité"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique du sol"", ""Alimentation constante grâce à des granulés à libération lente > 100 jours"", ""Universellement applicable – n'affecte pas l'acidité du sol"", ""Excellente répartition à l'épandage grâce aux microgranulés sans poussière"", ""Renforce la résilience en cas de sécheresse, de gel, de maladies et de nuisibles."", ""Engrais tout-en-un enrichi en fortifiants pour plantes"", ""Pour des résultats optimaux en jardin ornemental et potager""]"
gid://shopify/Product/15448947294532,"[""NPK 6-3-2 engrais naturel et entièrement végétal"", ""100% exempt de produits d'origine animale tels que le fumier, la farine d'os ou la farine de sang"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Possède une odeur agréable et est adapté pour une utilisation intérieure et extérieure"", ""100% organique, sans OGM, entièrement végétal et écologique"", ""Exempt de pathogènes ; aucun germe, champignon ou bactérie indésirables"", ""Très grande capacité d'absorption d'eau et riche en matière organique"", ""Action rapide avec un apport constant en nutriments grâce à sa forme à libération lente"", ""Excellente distribution grâce à un granulé exempt de poussière de 2-5 mm"", ""Engrais complet pour les plantes, contenant tous les nutriments importants"", ""Engrais universel durable adapté à toutes les plantes, cultures et types de sol""]"
gid://shopify/Product/15448947949892,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448948146500,"[""Améliore la structure et la fertilité du sol"", ""NPK 2-2-3, riche en magnésium, calcium, acides humiques et fulviques"", ""Minéraux et oligo-éléments ajoutés provenant de la farine de lave"", ""Produit à partir de 100% de fumier de vache pur"", ""Presque inodore grâce à l'hygiénisation et 100% exempt de graines de mauvaises herbes"", ""Exempt de pathogènes ; aucun germe, moisissure ou bactérie indésirable"", ""Apport nutritif constant grâce à la granule à libération lente > 120 jours"", ""Écoulement minimal des éléments minéraux grâce à une forte teneur en azote organique lié"", ""Pas de brûlure des feuilles en raison d'un très faible taux d'ammoniac"", ""Contient des nutriments importants et environ 60% de matière organique"", ""Granule facilement soluble et sans poussière avec un excellent motif d'épandage"", ""Applicable en toute saison, sauf en cas de gel dans le sol"", ""Parfait comme engrais polyvalent de fond et activateur de sol""]"
gid://shopify/Product/15448949489988,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448949817668,"[""Augmente le pH du sol"", ""Contribue à réduire la mousse et les mauvaises herbes"", ""Bénéfique pour la vie et la structure du sol"", ""Chaux 4 saisons : peut être appliquée toute l'année"", ""Favorise une formation racinaire optimale et un sol fertile"", ""Racines plus fortes et plus robustes"", ""Granulat non volatil, ne s'écoule pas et offre un excellent pouvoir d'épandage"", ""Le magnésium ajouté assure une belle couleur vert foncé de la pelouse et des plantes"", ""Fournit indirectement de l'énergie grâce à une photosynthèse optimale et à la fertilité du sol"", ""Pour des pelouses et des plantes plus belles, plus fraîches et plus saines"", ""Bonne assimilation des nutriments, tels que l'azote, le potassium et le magnésium.""]"
gid://shopify/Product/15448951062852,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448953422148,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448953979204,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448954503492,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448956797252,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448958894404,"[""Engrais organo-minéral composé NPK 9-2-7"", ""Engrais adapté pour les pâturages équins"", ""Également très approprié pour les pâturages de moutons, de chèvres et d'animaux de loisir"", ""Résulte en une herbe/fourrage de haute qualité et savoureuse"", ""Pour une herbe saine et riche en structure"", ""Améliore la structure du sol et agit comme un activateur de sol"", ""Croissance constante grâce aux microgranules à libération lente, avec une durée d'action de plus de 120 jours"", ""Rend l'herbe plus résistante à la sécheresse, aux maladies et au piétinement"", ""L'engrais pénètre rapidement dans le sol, empêchant ainsi l'absorption par les animaux"", ""Applicable en toutes saisons, sauf en cas de gel du sol"", ""Minéraux et oligo-éléments supplémentaires ajoutés à partir de la lave"", ""Engrais tout-en-un parfait pour les pâturages""]"
gid://shopify/Product/15448960172356,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448960303428,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448960565572,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448960631108,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448960696644,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448960991556,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448961155396,"[""Engrais organo-minéral composé NPK (Mg) 6-2-12 (+2)"", ""Gazon fort en hiver, résultats visibles jusqu'au printemps"", ""Donne un gazon épais et d'un vert foncé"", ""Renforce la résistance à la sécheresse, au gel, aux maladies et aux nuisibles"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique"", ""Apport nutritif constant grâce à la libération lente des granulés > 100 jours"", ""Utilisation universelle – n'influence pas le pH du sol"", ""Excellente répartition grâce aux microgranulés sans poussière"", ""Empêche la croissance indésirable de la mousse et des mauvaises herbes"", ""Engrais d'Automne Tout-en-Un est enrichi en fortifiants pour plantes""]"
gid://shopify/Product/15448961319236,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448961909060,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448964104516,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448964202820,"[""Engrais organo-minéral composé NPK (Mg) 9-2-7 (+3)"", ""Pour une pelouse profondément verte et robuste, sans mauvaises herbes ni mousse"", ""Riche en potassium pour renforcer la pelouse"", ""Sans sulfate de fer – ne laisse pas de taches"", ""Assure une pelouse forte, saine et dense"", ""Augmente la résistance à la sécheresse, aux maladies et au gel"", ""Empêche la croissance indésirable de mousse et de mauvaises herbes"", ""Quasiment inodore et exempt de pathogènes grâce à l'hygiénisation"", ""Excellente dispersion grâce au mélange de microgranulés sans poussière"", ""Offre jusqu'à 100 jours de nutrition complète"", ""Enrichi en magnésium pour une couleur de gazon profondément verte"", ""Améliore la structure du sol et fonctionne comme un activateur de sol"", ""Nutrition Tout-en-Un avec de la chaux et des renforçateurs de pelouse""]"
gid://shopify/Product/15448964661572,"[""Engrais composé organo-minéral NPK (Mg) 8-4-5 (+2)"", ""Favorise de plus belles plantes, des couleurs plus profondes et plus de fleurs"", ""Profitez de fruits plus nombreux et plus savoureux"", ""Influence positive sur la formation des fruits, tubercules et bulbes"", ""Améliore la qualité en termes de goût, couleur, odeur et durabilité"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique du sol"", ""Alimentation constante grâce à des granulés à libération lente > 100 jours"", ""Universellement applicable – n'affecte pas l'acidité du sol"", ""Excellente répartition à l'épandage grâce aux microgranulés sans poussière"", ""Renforce la résilience en cas de sécheresse, de gel, de maladies et de nuisibles."", ""Engrais tout-en-un enrichi en fortifiants pour plantes"", ""Pour des résultats optimaux en jardin ornemental et potager""]"
gid://shopify/Product/15448972951876,"[""Engrais composé organo-minéral NPK (Mg) 8-4-5(+2)"", ""Favorise de plus belles plantes, des couleurs plus profondes et plus de fleurs"", ""Profitez de fruits plus nombreux et plus savoureux"", ""Influence positive sur la formation des fruits, tubercules et bulbes"", ""Améliore la qualité en termes de goût, couleur, odeur et durabilité"", ""Améliore la structure du sol et stimule la vie microbienne bénéfique du sol"", ""Alimentation constante grâce à des granulés à libération lente > 100 jours"", ""Universellement applicable – n'affecte pas l'acidité du sol"", ""Excellente répartition à l'épandage grâce aux microgranulés sans poussière"", ""Renforce la résilience en cas de sécheresse, de gel, de maladies et de nuisibles."", ""Engrais tout-en-un enrichi en fortifiants pour plantes"", ""Pour des résultats optimaux en jardin ornemental et potager""]"
