GID,metatitle,metadescription
gid://shopify/Product/15448956797252,Hnojivo na pastviny All-In-One (40x = 800 kg - na 16.000 m2),Pasture Fertiliser All-In-One je najlepšou voľbou pre optimálne hnojenie konských pasienkov. Je tiež veľmi vhodné pre pasienky na pasenie a trávnaté plochy.
gid://shopify/Product/15448958894404,Hnojivo na pastviny All-In-One (20x = 400 kg - na 8.000 m2),Pasture Fertiliser All-In-One je najlepšou voľbou pre optimálne hnojenie konských pasienkov. Je tiež veľmi vhodné pre pasienky na pasenie a trávnaté plochy.
gid://shopify/Product/15448960172356,Jesenné hnojivo All-In-One (Veľká taška 1000 kg - na 20.000 m2),"Toto profesionálne jesenné hnojivo je veľmi bohaté na draslík a poskytuje trávniku, tráve a rastlinám dodatočnú ochranu pred chladnou zimou."
gid://shopify/Product/15448960303428,Jesenné hnojivo All-In-One (20 kg - na 400 m2),"Toto profesionálne jesenné hnojivo je veľmi bohaté na draslík a poskytuje trávniku, tráve a rastlinám dodatočnú ochranu pred chladnou zimou."
gid://shopify/Product/15448960565572,Jesenné hnojivo All-In-One (40x = 800 kg - na 16.000 m2),"Toto profesionálne jesenné hnojivo je veľmi bohaté na draslík a poskytuje trávniku, tráve a rastlinám dodatočnú ochranu pred chladnou zimou."
gid://shopify/Product/15448960631108,Jesenné hnojivo All-In-One (10x = 200 kg - na 4000 m2),"Toto profesionálne jesenné hnojivo je veľmi bohaté na draslík a poskytuje trávniku, tráve a rastlinám dodatočnú ochranu pred chladnou zimou."
gid://shopify/Product/15448960696644,Hnojivo na trávnik All-In-One (10 kg – na 200 m2),"Hnojivo na trávnik All-In-One na vytvorenie a zeleného trávnika bez machu a burín.Vynikajúce hnojivo, vhodné na hnojenie všetkých typov trávnikov a pôd."
gid://shopify/Product/15448960991556,Hnojivo na trávnik All-In-One (20 kg – na 400 m2),"Hnojivo na trávnik All-In-One na vytvorenie a zeleného trávnika bez machu a burín.Vynikajúce hnojivo, vhodné na hnojenie všetkých typov trávnikov a pôd."
gid://shopify/Product/15448961155396,Jesenné hnojivo All-In-One (20x = 400 kg - na 8000 m2),"Toto profesionálne jesenné hnojivo je veľmi bohaté na draslík a poskytuje trávniku, tráve a rastlinám dodatočnú ochranu pred chladnou zimou."
gid://shopify/Product/15448961319236,"Hnojivo na trávnik All-In-One (Veľká taška 1000 kg – na 20,000 m2)","Hnojivo na trávnik All-In-One na vytvorenie a zeleného trávnika bez machu a burín.Vynikajúce hnojivo, vhodné na hnojenie všetkých typov trávnikov a pôd."
gid://shopify/Product/15448961909060,Hnojivo na trávnik All-In-One (40x - 800 kg - na 16.000 m2),"Hnojivo na trávnik All-In-One na vytvorenie a zeleného trávnika bez machu a burín.Vynikajúce hnojivo, vhodné na hnojenie všetkých typov trávnikov a pôd."
gid://shopify/Product/15448964104516,Hnojivo na trávnik All-In-One (20x - 400 kg - na 8.000 m2),"Hnojivo na trávnik All-In-One na vytvorenie a zeleného trávnika bez machu a burín.Vynikajúce hnojivo, vhodné na hnojenie všetkých typov trávnikov a pôd."
gid://shopify/Product/15448964202820,Hnojivo na trávnik All-In-One (10x - 200 kg - na 4.000 m2),"Hnojivo na trávnik All-In-One na vytvorenie a zeleného trávnika bez machu a burín.Vynikajúce hnojivo, vhodné na hnojenie všetkých typov trávnikov a pôd."
gid://shopify/Product/15448964661572,Záhradné hnojivo All-In-One (20 kg - na 200 m2),"Garden Fertiliser All-In-One je navrhnutý na optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibúľ, ovocných stromov, jahôd a plodín."
gid://shopify/Product/15448972951876,Záhradné hnojivo All-In-One (10 kg - na 100 m2),"Garden Fertiliser All-In-One je navrhnutý na optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibúľ, ovocných stromov, jahôd a plodín."
gid://shopify/Product/15448973279556,Záhradné hnojivo All-In-One (10x =200 kg - na 2.000 m2),"Garden Fertiliser All-In-One je navrhnutý na optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibúľ, ovocných stromov, jahôd a plodín."
gid://shopify/Product/15448975114564,"Záhradné hnojivo All-In-One (Veľká taška 1000 kg – na 10,000 m2)","Garden Fertiliser All-In-One je navrhnutý na optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibúľ, ovocných stromov, jahôd a plodín."
gid://shopify/Product/15448975343940,Vegánske hnojivo na báze rastlín (10 kg - na 100 m2),Vegan Plant-based Fertiliser je 100% rastlinné organické hnojivo. Toto hnojivo je vhodné pre všetky typy pôdy a výborne sa hodí ako základné hnojivo.
gid://shopify/Product/15448975573316,Záhradné hnojivo All-In-One (40x = 800 kg - na 8.000 m2),"Garden Fertiliser All-In-One je navrhnutý na optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibúľ, ovocných stromov, jahôd a plodín."
gid://shopify/Product/15448975704388,Vegánske hnojivo na báze rastlín (20 kg - na 200 m2),Vegan Plant-based Fertiliser je 100% rastlinné organické hnojivo. Toto hnojivo je vhodné pre všetky typy pôdy a výborne sa hodí ako základné hnojivo.
gid://shopify/Product/15448978161988,Záhradné hnojivo All-In-One (20x = 400 kg - na 4.000 m2),"Garden Fertiliser All-In-One je navrhnutý na optimálny výkon kvitnúcich rastlín, kríkov, stromov, ruží, trvaliek, cibúľ, ovocných stromov, jahôd a plodín."
gid://shopify/Product/15448978194756,Vegánske hnojivo na báze rastlín (1000 kg - na 10.000 m2),Vegan Plant-based Fertiliser je 100% rastlinné organické hnojivo. Toto hnojivo je vhodné pre všetky typy pôdy a výborne sa hodí ako základné hnojivo.
gid://shopify/Product/15448978981188,Vegánske hnojivo na báze rastlín (10x = 200 kg - na 2.000 m2),Vegan Plant-based Fertiliser je 100% rastlinné organické hnojivo. Toto hnojivo je vhodné pre všetky typy pôdy a výborne sa hodí ako základné hnojivo.
gid://shopify/Product/15448979276100,Vegánske hnojivo na báze rastlín (20x = 400 kg - na 4.000 m2),Vegan Plant-based Fertiliser je 100% rastlinné organické hnojivo. Toto hnojivo je vhodné pre všetky typy pôdy a výborne sa hodí ako základné hnojivo.
gid://shopify/Product/15448986157380,Vegánske hnojivo na báze rastlín (40x = 800 kg - na 8.000 m2),Vegan Plant-based Fertiliser je 100% rastlinné organické hnojivo. Toto hnojivo je vhodné pre všetky typy pôdy a výborne sa hodí ako základné hnojivo.
gid://shopify/Product/15448986845508,Lavameal z prapôvodnej horniny Eifel (20 kg – pre 200 m2),Lavameal z prapôvodnej horniny Eifes najvyššou koncentráciou minerálov na trhu a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15448987009348,Lavameal z prapôvodnej horniny Eifel (12x = 240 kg - pre 2400 m2),Lavameal z prapôvodnej horniny Eifes najvyššou koncentráciou minerálov na trhu a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15448989237572,Lavameal z prapôvodnej horniny Eifel (48x = 960 kg - pre 9600 m2),Lavameal z prapôvodnej horniny Eifes najvyššou koncentráciou minerálov na trhu a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15448989466948,Vápenaté hnojivo s horčíkom (20 kg – na 400 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15448990449988,Vápenaté hnojivo s horčíkom (Veľká taška 1200 kg - na 24.000 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15448990482756,Vápenaté hnojivo s horčíkom (Veľká taška 600 kg - na 12.000 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15448992776516,Vápenaté hnojivo s horčíkom (10x = 200 kg – na 4.000 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15448993268036,Vápenaté hnojivo s horčíkom (40x = 800 kg - na 16.000 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15448996413764,Vápenaté hnojivo s horčíkom (20x = 400 kg - na 8.000 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15448997003588,Lavameal z prapôvodnej horniny Eifel (24x = 480 kg - pre 4800 m2),Lavameal z prapôvodnej horniny Eifes najvyššou koncentráciou minerálov na trhu a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15449001001284,Vápenaté hnojivo s horčíkom (5 kg - na 100 m2),Toto vápenné hnojivo obdobia od Organifer je obohatené o horčík. Je ideálne na ochranu pôdy pred prílišnou kyslosťou a tiež pôsobí nepriamo proti machu.
gid://shopify/Product/15449001820484,Tekuté hnojivo pre fázu rastu - Amino Power 250 ml koncentrát,Tekuté hnojivo pre fázu rastu - Amino Power je kompletné hnojivo špeciálne navrhnuté pre rastovú fázu každej rastliny a plodiny (fáza 1).
gid://shopify/Product/15449001951556,Tekuté hnojivo pre fázu rastu - Amino Power 500 ml koncentrát,Tekuté hnojivo pre fázu rastu - Amino Power je kompletné hnojivo špeciálne navrhnuté pre rastovú fázu každej rastliny a plodiny (fáza 1).
gid://shopify/Product/15449002344772,Tekuté hnojivo pre fázu rastu - Amino Power 1000 ml koncentrát,Tekuté hnojivo pre fázu rastu - Amino Power je kompletné hnojivo špeciálne navrhnuté pre rastovú fázu každej rastliny a plodiny (fáza 1).
gid://shopify/Product/15449003622724,Tekuté hnojivo pre fázu kvitnutia - Iron Power - 500 ml koncentrát,Tekuté hnojivo pre fázu kvitnutia - Iron Power je kompletná výživa založená na tekutom hnojive špeciálne navrhnutom pre fázu kvitnutia rastliny.
gid://shopify/Product/15449003655492,Tekuté hnojivo pre fázu kvitnutia - Iron Power - 250 ml koncentrát,Tekuté hnojivo pre fázu kvitnutia - Iron Power je kompletná výživa založená na tekutom hnojive špeciálne navrhnutom pre fázu kvitnutia rastliny.
gid://shopify/Product/15449003884868,Tekuté hnojivo pre fázu kvitnutia - Iron Power - 1000 ml koncentrát,Tekuté hnojivo pre fázu kvitnutia - Iron Power je kompletná výživa založená na tekutom hnojive špeciálne navrhnutom pre fázu kvitnutia rastliny.
gid://shopify/Product/15449004114244,Stimulátor koreňov - Roots Power Concentrate - 250 ml,Roots Power Concentrate je vysoko koncentrovaný organický stimulátor koreňov. Tento stimulátor zabezpečuje rýchly a intenzívny vývoj koreňov.
gid://shopify/Product/15449005195588,Buxus Vital 250 ml - Koncentrát na 25 metrov živého plotu,Buxus Vital Koncentrát pomáha vášmu krušpánu prirodzene posilniť jeho odolnosť a vitalitu až o 100 %. Výsledkom je silnejší a zdravší krušpán.
gid://shopify/Product/15449005556036,Stimulátor koreňov - Roots Power Concentrate - 500 ml,Roots Power Concentrate je vysoko koncentrovaný organický stimulátor koreňov. Tento stimulátor zabezpečuje rýchly a intenzívny vývoj koreňov.
gid://shopify/Product/15449005588804,Stimulátor koreňov - Roots Power Concentrate - 1000 ml,Roots Power Concentrate je vysoko koncentrovaný organický stimulátor koreňov. Tento stimulátor zabezpečuje rýchly a intenzívny vývoj koreňov.
gid://shopify/Product/15449005687108,Buxus Vital 500 ml - Koncentrát na 50 metrov živého plotu,Buxus Vital Koncentrát pomáha vášmu krušpánu prirodzene posilniť jeho odolnosť a vitalitu až o 100 %. Výsledkom je silnejší a zdravší krušpán.
gid://shopify/Product/15449006833988,Buxus Vital 1000 ml - Koncentrát na 100 metrov živého plotu,Buxus Vital Koncentrát pomáha vášmu krušpánu prirodzene posilniť jeho odolnosť a vitalitu až o 100 %. Výsledkom je silnejší a zdravší krušpán.
gid://shopify/Product/15449006899524,Prevencia proti slimákom 500 ml – koncentrát na 500 m2,"Koncentrát na prevenciu proti slimákom sa môže použiť, keď je nadmerné obťažovanie slimákmi, húsenicami, divými zvieratami alebo vtákmi."
gid://shopify/Product/15449007391044,Prevencia proti slimákom 250 ml - koncentrát na 250 m2,"Koncentrát na prevenciu proti slimákom sa môže použiť, keď je nadmerné obťažovanie slimákmi, húsenicami, divými zvieratami alebo vtákmi."
gid://shopify/Product/15449007489348,Prevencia proti slimákom 1000 ml – koncentrát na 1000 m2,"Koncentrát na prevenciu proti slimákom sa môže použiť, keď je nadmerné obťažovanie slimákmi, húsenicami, divými zvieratami alebo vtákmi."
gid://shopify/Product/15449009422660,Koncentrát proti Phytophthora – 250 ml pre 250 m2,"Koncentrát proti Phytophthora je zložený zo špecifických rastlinných koncentrátov a je bezpečný pre ľudí, zvieratá aj životné prostredie."
gid://shopify/Product/15449013256516,Koncentrát proti Phytophthora – 500 ml pre 500 m2,"Koncentrát proti Phytophthora je zložený zo špecifických rastlinných koncentrátov a je bezpečný pre ľudí, zvieratá aj životné prostredie."
gid://shopify/Product/15449013289284,Koncentrát proti Phytophthora – 1000 ml pre 1000 m2,"Koncentrát proti Phytophthora je zložený zo špecifických rastlinných koncentrátov a je bezpečný pre ľudí, zvieratá aj životné prostredie."
gid://shopify/Product/15449013322052,Nematódy – Koncentrát pôdnych nematód – 250 ml pre 250 m2,"Nematódy – Koncentrát pôdnych nematód prirodzene chráni rastliny pred rôznymi škodlivými nematódami v pôde, háďatká zemiakové a háďatká repové."
gid://shopify/Product/15449014174020,Nematódy – Koncentrát pôdnych nematód – 500 ml pre 500 m2,"Nematódy – Koncentrát pôdnych nematód prirodzene chráni rastliny pred rôznymi škodlivými nematódami v pôde, háďatká zemiakové a háďatká repové."
gid://shopify/Product/15449015025988,Koncentrát proti trávnym hmyzom 500 ml pre 125 m2,"Koncentrát proti trávnym hmyzom má nepriamy odpudzujúci účinok proti prítomnosti lariev chrústov, lariev muchotrávky a lariev hubových mušiek v tráve."
gid://shopify/Product/15449015058756,Koncentrát proti trávnym hmyzom – 250 ml pre 62 m2,"Koncentrát proti trávnym hmyzom má nepriamy odpudzujúci účinok proti prítomnosti lariev chrústov, lariev muchotrávky a lariev hubových mušiek v tráve."
gid://shopify/Product/15449015091524,Koncentrát proti pôdnym plesniam - 250 ml na 250 m2,Soil Fungi Ground pozostáva z vysoko koncentrovanej zmesi špecificky pôsobiacich bylinných koncentrátov a poskytuje preventívny účinok proti pôdnym hubám.
gid://shopify/Product/15449015550276,Nematódy – Koncentrát pôdnych nematód – 1000 ml pre 1000 m2,"Nematódy – Koncentrát pôdnych nematód prirodzene chráni rastliny pred rôznymi škodlivými nematódami v pôde, háďatká zemiakové a háďatká repové."
gid://shopify/Product/15449017286980,Koncentrát proti pôdnym plesniam – 500 ml na 500 m2,Soil Fungi Ground pozostáva z vysoko koncentrovanej zmesi špecificky pôsobiacich bylinných koncentrátov a poskytuje preventívny účinok proti pôdnym hubám.
gid://shopify/Product/15449017483588,Koncentrát proti trávnym hmyzom - 1000 ml pre 250 m2,"Koncentrát proti trávnym hmyzom má nepriamy odpudzujúci účinok proti prítomnosti lariev chrústov, lariev muchotrávky a lariev hubových mušiek v tráve."
gid://shopify/Product/15449017516356,Koncentrát proti pôdnym plesniam – 1000 ml na 1000 m2,Soil Fungi Ground pozostáva z vysoko koncentrovanej zmesi špecificky pôsobiacich bylinných koncentrátov a poskytuje preventívny účinok proti pôdnym hubám.
gid://shopify/Product/15449017581892,Koncentrát proti pôdnemu hmyzu - 1000 ml na 1000 m2,"Koncentrát proti pôdnemu hmyzu je prírodný prípravok zložený zo špecifických bylinných extraktov, ktorý pôsobí preventívne proti pôdnym škodcom."
gid://shopify/Product/15449019416900,Koncentrát proti pôdnemu hmyzu - 250 ml na 250 m2,"Koncentrát proti pôdnemu hmyzu je prírodný prípravok zložený zo špecifických bylinných extraktov, ktorý pôsobí preventívne proti pôdnym škodcom."
gid://shopify/Product/15449021153604,Koncentrát proti pôdnemu hmyzu - 500 ml na 500 m2,"Koncentrát proti pôdnemu hmyzu je prírodný prípravok zložený zo špecifických bylinných extraktov, ktorý pôsobí preventívne proti pôdnym škodcom."
gid://shopify/Product/15449022005572,Koncentrát proti chorobám listov – 500 ml pre 500 m2,"Koncentrát proti chorobám listov obsahuje špeciálne zložené bylinné extrakty, ktoré posilňujú rastliny proti hubám a škvrnám na listoch."
gid://shopify/Product/15449022628164,Koncentrát proti listovému hmyzu - 250 ml na 250 m2,"Leaf Insects Concentrate má nepriamy a preventívny účinok pri odstraňovaní prítomnosti prirodzených škodcov, ako sú vošky, štítničky, koreňové vošky."
gid://shopify/Product/15449024201028,Koncentrát proti chorobám listov – 250 ml pre 250 m2,"Koncentrát proti chorobám listov obsahuje špeciálne zložené bylinné extrakty, ktoré posilňujú rastliny proti hubám a škvrnám na listoch."
gid://shopify/Product/15449024692548,Koncentrát proti chorobám listov – 1000 ml pre 1000 m2,"Koncentrát proti chorobám listov obsahuje špeciálne zložené bylinné extrakty, ktoré posilňujú rastliny proti hubám a škvrnám na listoch."
gid://shopify/Product/15449026199876,Koncentrát proti listovému hmyzu – 1000 ml na 1000 m2,"Leaf Insects Concentrate má nepriamy a preventívny účinok pri odstraňovaní prítomnosti prirodzených škodcov, ako sú vošky, štítničky, koreňové vošky."
gid://shopify/Product/15449026724164,Čadičová múčka na zlepšenie pôdy pre ílovitú pôdu (20 kg),Bazaltová múčka - zlepšovač pôdy pre ílovité pôdy je účinná pri zlepšovaní ílovitých pôd. Vyznačuje sa výnimočne vysokými elektromagnetickými hodnotami.
gid://shopify/Product/15449027051844,Koncentrát proti listovému hmyzu - 500 ml na 500 m2,"Leaf Insects Concentrate má nepriamy a preventívny účinok pri odstraňovaní prítomnosti prirodzených škodcov, ako sú vošky, štítničky, koreňové vošky."
gid://shopify/Product/15449027084612,Čadičová múčka na zlepšenie pôdy pre ílovitú pôdu (240 kg),Bazaltová múčka - zlepšovač pôdy pre ílovité pôdy je účinná pri zlepšovaní ílovitých pôd. Vyznačuje sa výnimočne vysokými elektromagnetickými hodnotami.
gid://shopify/Product/15449028133188,Čadičová múčka na zlepšenie pôdy pre ílovitú pôdu (960 kg),Bazaltová múčka - zlepšovač pôdy pre ílovité pôdy je účinná pri zlepšovaní ílovitých pôd. Vyznačuje sa výnimočne vysokými elektromagnetickými hodnotami.
gid://shopify/Product/15449028264260,Čadičová múčka na zlepšenie pôdy pre ílovitú pôdu (480 kg),Bazaltová múčka - zlepšovač pôdy pre ílovité pôdy je účinná pri zlepšovaní ílovitých pôd. Vyznačuje sa výnimočne vysokými elektromagnetickými hodnotami.
gid://shopify/Product/15449028395332,Lávová drť z eifelovskej prahorniny (12x – 240 kg – na 2.400 m2),Lávová drť z prapôvodnej horniny Eifel je lávová drť kondicionér pôdy s najvyššou koncentráciou minerálov a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15449028723012,Lávová drť z eifelovskej prahorniny (50x – 1000 kg – na 10.000 m2),Lávová drť z prapôvodnej horniny Eifel je lávová drť kondicionér pôdy s najvyššou koncentráciou minerálov a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15449028755780,Lávová drť z eifelovskej prahorniny (25x – 500 kg – na 5.000 m2),Lávová drť z prapôvodnej horniny Eifel je lávová drť kondicionér pôdy s najvyššou koncentráciou minerálov a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15449028886852,Osivo okrasných tráv - Elegant (1 kg na 50 m2),"Ornamental Grass Seed – Elegant pre tých, ktorí od svojho trávnika očakávajú vysokú hodnotu. Jemné kostravy zabezpečujú hustý a jemnolistý porast."
gid://shopify/Product/15449030558020,Osivo okrasných tráv - Elegant (5 kg na 250 m2),"Ornamental Grass Seed – Elegant pre tých, ktorí od svojho trávnika očakávajú vysokú hodnotu. Jemné kostravy zabezpečujú hustý a jemnolistý porast."
gid://shopify/Product/15449031049540,Lávová drť z eifelovskej prahorniny (20 kg na 200 m2),Lávová drť z prapôvodnej horniny Eifel je lávová drť kondicionér pôdy s najvyššou koncentráciou minerálov a najlepšími spracovateľskými vlastnosťami.
gid://shopify/Product/15449033376068,Osivo na opravu trávnika - odolné (5 kg na 250 m2),Trávna zmes na obnovu trávnika – Odolná obsahuje ideálnu opravnú formulu na renováciu a dosievanie všetkých typov trávnikov.
gid://shopify/Product/15449033408836,Osivo okrasných tráv - Elegant (15 kg na 750 m2),"Ornamental Grass Seed – Elegant pre tých, ktorí od svojho trávnika očakávajú vysokú hodnotu. Jemné kostravy zabezpečujú hustý a jemnolistý porast."
gid://shopify/Product/15449033933124,Osivo na opravu trávnika - odolné (1 kg na 50 m2),Trávna zmes na obnovu trávnika – Odolná obsahuje ideálnu opravnú formulu na renováciu a dosievanie všetkých typov trávnikov.
gid://shopify/Product/15449036325188,Pastierska trávna zmes - pre kone a drobný dobytok (15 kg),"Organifer Meadow je pastierska zmes vhodná na kosenie aj pasenie. Organifer Meadow je zmes certifikovaných trávnych semien, lipnicu a mätonoh plazivý."
gid://shopify/Product/15449037963588,Kuracie hnojivo v peletách (5 kg pre 50 m2),Organifer Premium Kuracie Hnojivo v Peletách je vyrobené zo 100% čistého kuracieho hnoja. Tento kvalitný produkt je sušený a hygienizovaný zahrievaním.
gid://shopify/Product/15449037996356,Osivo na opravu trávnika - odolné (15 kg na 750 m2),Trávna zmes na obnovu trávnika – Odolná obsahuje ideálnu opravnú formulu na renováciu a dosievanie všetkých typov trávnikov.
gid://shopify/Product/15449038422340,Kuracie hnojivo v peletách (10 kg pre 100 m2),Organifer Premium Kuracie Hnojivo v Peletách je vyrobené zo 100% čistého kuracieho hnoja. Tento kvalitný produkt je sušený a hygienizovaný zahrievaním.
gid://shopify/Product/15449038618948,Kuracie hnojivo v peletách (20 kg - pre 200 m2),Organifer Premium Kuracie Hnojivo v Peletách je vyrobené zo 100% čistého kuracieho hnoja. Tento kvalitný produkt je sušený a hygienizovaný zahrievaním.
gid://shopify/Product/15449038815556,Kuracie hnojivo v peletách (40x = 800 kg - pre 8000 m2),Organifer Premium Kuracie Hnojivo v Peletách je vyrobené zo 100% čistého kuracieho hnoja. Tento kvalitný produkt je sušený a hygienizovaný zahrievaním.
